Scientific_Name	Group	Plot	Sample_Name	Tube_No	Type_of_Sample	Total_Weight	Cup_No	pXRF_measurement_ID	ICP	Material	Cl_concentration	Cl_uncertainty	Ca_concentration	Ca_uncertainty	Ti_concentration	Ti_uncertainty	Cr_concentration	Cr_uncertainty	Mn_concentration	Mn_uncertainty	Fe_concentration	Fe_uncertainty	Co_concentration	Co_uncertainty	Ni_concentration	Ni_uncertainty	Cu_concentration	Cu_uncertainty	Zn_concentration	Zn_uncertainty	As_concentration	As_uncertainty	Se_concentration	Se_uncertainty	Cd_concentration	Cd_uncertainty	Re_concentration	Re_uncertainty	Hg_concentration	Hg_uncertainty	Tl_concentration	Tl_uncertainty	Pb_concentration	Pb_uncertainty	Substrate_RT
QA_Sample	NA	NA	NIST1573	NA	QA	NA	NA	2251	NA	Plant	5545	655	44180	660	83.3	21.3	3.7	3.7	215	18.8	293	17.4	ND<1.7	1.7	ND<1.5	1.5	3.8	1.2	28.1	2.8	0.7	0.6	ND<0.6	0.6	ND<3.1	3.1	ND<1.6	1.6	ND<0.6	0.6	ND<0.5	0.5	ND<1.6	1.6	0.068626307
QA_Sample	NA	NA	NIST1570	NA	QA	NA	NA	2252	NA	Plant	5468	611	13431	354	ND<8.4	8.4	ND<2.4	2.4	63.1	9.3	212	12.9	ND<1.2	1.2	ND<1.2	1.2	10.9	1.8	75.7	4	0.6	0.5	0.4	0.4	ND<5.0	5	ND<1.1	1.1	ND<0.3	0.3	ND<0.5	0.5	ND<1.1	1.1	0.062852912
QA_Sample	NA	NA	blank	NA	QA	NA	NA	2259	NA	Plant	ND<69.5	69.5	ND<19.7	19.7	ND<6.4	6.4	ND<1.3	1.3	ND<4.9	4.9	ND<6.6	6.6	ND<3.2	3.2	ND<3.0	3	ND<3.5	3.5	ND<2.4	2.4	ND<1.3	1.3	ND<1.5	1.5	ND<34.0	34	ND<4.2	4.2	ND<1.2	1.2	ND<1.9	1.9	ND<4.9	4.9	0.004006298
QA_Sample	NA	NA	NIST1573	NA	QA	NA	NA	2260	NA	Plant	5071	629	42983	646	62.4	18.8	ND<2.8	2.8	200	18	282	16.9	ND<1.5	1.5	ND<1.4	1.4	4.4	1.3	25.7	2.7	ND<0.3	0.3	ND<0.6	0.6	ND<3.0	3	ND<1.6	1.6	1	0.9	ND<0.7	0.7	ND<1.7	1.7	0.062073894
QA_Sample	NA	NA	NIST1570	NA	QA	NA	NA	2261	NA	Plant	5046	588	13121	348	28.7	12.5	ND<2.2	2.2	62.7	9.1	213	12.8	ND<1.2	1.2	ND<1.2	1.2	10.8	1.8	71	3.9	0.5	0.5	0.5	0.4	ND<4.6	4.6	1.6	1.6	ND<0.3	0.3	ND<0.3	0.3	ND<1.2	1.2	0.064104736
QA_Sample	NA	NA	blank	NA	QA	NA	NA	2281	NA	Plant	242	138	ND<19.4	19.4	ND<6.3	6.3	ND<1.3	1.3	ND<4.4	4.4	ND<7.5	7.5	ND<3.1	3.1	ND<2.9	2.9	ND<3.0	3	ND<2.6	2.6	ND<1.3	1.3	ND<1.3	1.3	ND<34.4	34.4	ND<4.5	4.5	ND<1.9	1.9	ND<2.0	2	ND<4.9	4.9	0.003939875
QA_Sample	NA	NA	blank	NA	QA	NA	NA	2285	NA	Plant	ND<63.2	63.2	ND<19.3	19.3	ND<5.9	5.9	ND<1.4	1.4	ND<5.1	5.1	ND<6.9	6.9	ND<3.0	3	ND<2.7	2.7	ND<3.5	3.5	ND<2.3	2.3	ND<1.5	1.5	ND<0.8	0.8	ND<33.9	33.9	ND<5.1	5.1	ND<2.1	2.1	ND<2.1	2.1	ND<4.4	4.4	0.003993372
QA_Sample	NA	NA	NIST1573	NA	QA	NA	NA	2286	NA	Plant	6445	677	48755	697	79.6	21.7	ND<3.1	3.1	231	19.8	322	18.6	ND<1.7	1.7	ND<1.6	1.6	4.5	1.4	29.7	2.9	ND<0.3	0.3	ND<0.6	0.6	ND<4.7	4.7	ND<1.7	1.7	ND<0.7	0.7	ND<0.5	0.5	ND<1.7	1.7	0.066312447
QA_Sample	NA	NA	NIST1570	NA	QA	NA	NA	2287	NA	Plant	6020	624	14768	375	25.2	12.9	ND<2.5	2.5	67.3	9.6	242	13.9	ND<1.3	1.3	3.2	1.8	11.9	1.9	80.1	4.1	ND<0.3	0.3	ND<0.3	0.3	ND<2.7	2.7	ND<1.1	1.1	ND<0.3	0.3	ND<0.3	0.3	ND<1.2	1.2	0.065432422
QA_Sample	NA	NA	blank	NA	QA	NA	NA	2295	NA	Plant	ND<70.3	70.3	ND<20.5	20.5	ND<5.2	5.2	ND<1.3	1.3	ND<4.3	4.3	ND<6.4	6.4	ND<2.7	2.7	ND<2.8	2.8	ND<3.3	3.3	ND<2.6	2.6	ND<1.5	1.5	ND<1.3	1.3	ND<32.5	32.5	ND<5.2	5.2	ND<1.4	1.4	ND<1.3	1.3	ND<4.9	4.9	0.003931582
QA_Sample	NA	NA	NIST1573	NA	QA	NA	NA	2296	NA	Plant	5087	602	40270	623	63.5	18.5	3.2	3.2	183	17.1	262	16.2	ND<1.5	1.5	ND<1.5	1.5	4.2	1.3	27	2.7	ND<0.3	0.3	ND<0.5	0.5	ND<5.1	5.1	ND<1.5	1.5	ND<0.6	0.6	ND<0.5	0.5	ND<1.7	1.7	0.062891394
QA_Sample	NA	NA	NIST1570	NA	QA	NA	NA	2297	NA	Plant	5001	587	12989	346	24.4	11.9	ND<2.2	2.2	53.1	8.4	210	12.7	ND<1.1	1.1	ND<1.2	1.2	9.6	1.7	71.6	3.9	0.4	0.4	ND<0.3	0.3	ND<5.0	5	ND<1.1	1.1	ND<0.5	0.5	ND<0.5	0.5	ND<1.1	1.1	0.063113406
QA_Sample	NA	NA	blank	NA	QA	NA	NA	2307	NA	Plant	ND<67.9	67.9	ND<16.7	16.7	ND<5.8	5.8	ND<2.6	2.6	ND<4.5	4.5	ND<7.8	7.8	ND<3.2	3.2	ND<2.9	2.9	ND<3.6	3.6	ND<2.2	2.2	ND<1.0	1	ND<1.7	1.7	ND<15.5	15.5	ND<4.6	4.6	ND<1.4	1.4	ND<1.4	1.4	ND<5.0	5	0.003867417
QA_Sample	NA	NA	NIST1573	NA	QA	NA	NA	2308	NA	Plant	5736	634	42621	641	80.7	20.6	3.2	3.2	194	17.8	286	17	ND<1.6	1.6	ND<1.4	1.4	5	1.4	25.5	2.6	ND<0.4	0.4	ND<0.3	0.3	ND<2.6	2.6	ND<1.6	1.6	ND<0.6	0.6	ND<0.7	0.7	ND<1.7	1.7	0.068232656
QA_Sample	NA	NA	NIST1570	NA	QA	NA	NA	2309	NA	Plant	4998	584	12796	340	18	10.7	ND<2.2	2.2	56.7	8.6	199	12.3	ND<1.2	1.2	ND<1.2	1.2	10.6	1.8	70.9	3.8	ND<0.4	0.4	0.5	0.4	ND<5.3	5.3	ND<1.2	1.2	ND<0.3	0.3	ND<0.3	0.3	ND<1.2	1.2	0.061482992
QA_Sample	NA	NA	blank	NA	QA	NA	NA	2330	NA	Plant	ND<62.5	62.5	ND<18.7	18.7	ND<6.2	6.2	ND<0.9	0.9	ND<4.8	4.8	ND<7.3	7.3	ND<3.0	3	ND<3.0	3	ND<3.4	3.4	ND<2.5	2.5	ND<1.2	1.2	1.6	1.6	ND<37.0	37	ND<4.9	4.9	3.3	2.9	ND<2.1	2.1	ND<5.4	5.4	0.003874551
QA_Sample	NA	NA	blank	NA	QA	NA	NA	2339	NA	Plant	ND<62.9	62.9	ND<19.0	19	ND<6.7	6.7	ND<1.4	1.4	ND<4.3	4.3	ND<7.9	7.9	ND<2.8	2.8	ND<3.2	3.2	ND<3.2	3.2	ND<2.6	2.6	ND<1.4	1.4	ND<1.4	1.4	ND<34.0	34	ND<3.9	3.9	ND<1.1	1.1	ND<1.3	1.3	ND<4.6	4.6	0.003991308
QA_Sample	NA	NA	NIST1573	NA	QA	NA	NA	2340	NA	Plant	5376	640	44589	658	74.4	20.3	ND<3.0	3	211	18.6	299	17.6	ND<1.6	1.6	ND<1.6	1.6	5.1	1.4	27.5	2.8	ND<0.3	0.3	ND<0.4	0.4	ND<5.0	5	1.7	1.7	ND<0.5	0.5	ND<0.7	0.7	ND<1.6	1.6	0.067090079
QA_Sample	NA	NA	NIST1570	NA	QA	NA	NA	2341	NA	Plant	5880	617	13795	359	23.8	12.2	ND<2.3	2.3	65.4	9.3	225	13.3	ND<1.3	1.3	ND<1.2	1.2	12.1	2	76.7	4.1	ND<0.3	0.3	0.5	0.4	ND<4.6	4.6	ND<1.2	1.2	ND<0.5	0.5	ND<0.5	0.5	ND<0.4	0.4	0.0605161
QA_Sample	NA	NA	NIST1573	NA	QA	NA	NA	2370	NA	Plant	5060	631	42410	641	82.9	20.9	ND<2.7	2.7	199	17.9	272	16.6	ND<1.6	1.6	ND<1.4	1.4	4.3	1.3	25.7	2.7	ND<0.4	0.4	ND<0.5	0.5	ND<4.6	4.6	ND<1.6	1.6	ND<0.6	0.6	ND<0.7	0.7	ND<1.6	1.6	0.0657584
QA_Sample	NA	NA	NIST1573	NA	QA	NA	NA	2371	NA	Plant	4998	630	42634	643	85.9	21.2	4	3.9	205	18.3	290	17.2	ND<1.6	1.6	ND<1.4	1.4	4.4	1.3	25.8	2.7	ND<0.3	0.3	ND<0.6	0.6	ND<4.9	4.9	ND<1.6	1.6	0.8	0.8	ND<0.7	0.7	ND<1.7	1.7	0.065832704
QA_Sample	NA	NA	NIST1570	NA	QA	NA	NA	2372	NA	Plant	5314	589	13467	354	30.2	12.8	2.4	2.4	66.3	9.4	213	12.9	ND<1.1	1.1	ND<1.2	1.2	9.9	1.8	71.4	3.9	ND<0.3	0.3	ND<0.3	0.3	ND<2.9	2.9	ND<1.1	1.1	ND<0.3	0.3	ND<0.5	0.5	ND<1.1	1.1	0.063027754
QA_Sample	NA	NA	blank	NA	QA	NA	NA	2373	NA	Plant	ND<68.1	68.1	ND<19.9	19.9	ND<4.2	4.2	ND<2.3	2.3	ND<4.2	4.2	ND<6.7	6.7	ND<3.1	3.1	ND<3.0	3	ND<3.2	3.2	ND<1.6	1.6	ND<9.6	9.6	ND<1.4	1.4	ND<31.6	31.6	ND<4.2	4.2	ND<1.2	1.2	ND<1.9	1.9	ND<4.5	4.5	0.004012812
QA_Sample	NA	NA	blank	NA	QA	NA	NA	2374	NA	Plant	ND<63.4	63.4	ND<19.6	19.6	ND<4.9	4.9	ND<0.9	0.9	ND<5.3	5.3	ND<7.1	7.1	ND<3.1	3.1	ND<3.0	3	ND<3.3	3.3	ND<2.2	2.2	ND<0.8	0.8	ND<1.4	1.4	ND<7.6	7.6	ND<4.3	4.3	ND<1.3	1.3	ND<2.1	2.1	ND<5.9	5.9	0.003958794
QA_Sample	NA	NA	blank	NA	QA	NA	NA	2387	NA	Plant	ND<63.0	63	25.3	10.9	ND<4.7	4.7	ND<2.4	2.4	ND<4.9	4.9	ND<7.5	7.5	ND<2.5	2.5	ND<3.0	3	ND<3.7	3.7	ND<2.1	2.1	ND<1.3	1.3	ND<1.2	1.2	ND<35.9	35.9	ND<4.6	4.6	ND<2.0	2	ND<2.0	2	ND<5.1	5.1	0.003953356
QA_Sample	NA	NA	blank	NA	QA	NA	NA	2388	NA	Plant	ND<80.3	80.3	ND<20.5	20.5	ND<6.4	6.4	ND<3.1	3.1	ND<5.3	5.3	ND<8.0	8	ND<3.1	3.1	ND<2.6	2.6	ND<3.2	3.2	ND<2.5	2.5	ND<0.9	0.9	ND<1.3	1.3	ND<18.2	18.2	ND<5.2	5.2	2.9	2.9	ND<1.1	1.1	ND<5.0	5	0.003987897
QA_Sample	NA	NA	NIST1573	NA	QA	NA	NA	2389	NA	Plant	5820	663	46176	674	79.6	21.2	ND<2.9	2.9	224	19.2	309	18	ND<1.8	1.8	ND<1.5	1.5	3.8	1.3	26.2	2.7	ND<0.3	0.3	ND<0.4	0.4	ND<2.9	2.9	ND<1.7	1.7	ND<0.5	0.5	ND<0.5	0.5	ND<1.7	1.7	0.062317342
QA_Sample	NA	NA	NIST1570	NA	QA	NA	NA	2390	NA	Plant	5820	614	14347	368	32.6	13.6	4	3.6	67.5	9.6	239	13.8	ND<1.3	1.3	ND<1.2	1.2	10.8	1.9	74.3	4	ND<0.3	0.3	0.4	0.4	ND<3.0	3	ND<1.2	1.2	ND<0.3	0.3	ND<0.3	0.3	ND<1.2	1.2	0.06415873
QA_Sample	NA	NA	blank	NA	QA	NA	NA	2411	NA	Plant	ND<52.3	52.3	22.9	10.1	ND<5.2	5.2	ND<1.6	1.6	ND<4.3	4.3	ND<7.5	7.5	ND<3.9	3.9	ND<3.1	3.1	ND<3.6	3.6	ND<2.9	2.9	ND<1.4	1.4	ND<1.5	1.5	ND<18.6	18.6	ND<4.7	4.7	ND<1.9	1.9	ND<1.9	1.9	ND<4.8	4.8	0.003951334
QA_Sample	NA	NA	blank	NA	QA	NA	NA	2412	NA	Plant	ND<50.1	50.1	ND<21.5	21.5	ND<5.5	5.5	ND<1.6	1.6	ND<4.2	4.2	ND<7.1	7.1	ND<2.8	2.8	ND<3.3	3.3	ND<3.2	3.2	ND<1.6	1.6	ND<1.1	1.1	ND<1.1	1.1	88.1	88.1	10.2	7.9	ND<2.4	2.4	ND<1.4	1.4	ND<5.4	5.4	0.003976764
QA_Sample	NA	NA	NIST1573	NA	QA	NA	NA	2414	NA	Plant	7115	708	52578	731	89.5	23.5	ND<3.5	3.5	259	21.4	359	20	ND<1.8	1.8	ND<1.6	1.6	5.4	1.6	30	3	ND<0.5	0.5	ND<0.4	0.4	ND<2.7	2.7	ND<1.7	1.7	ND<0.7	0.7	ND<0.5	0.5	ND<1.7	1.7	0.073026076
QA_Sample	NA	NA	NIST1570	NA	QA	NA	NA	2415	NA	Plant	7408	688	15652	390	ND<9.8	9.8	ND<2.6	2.6	75.3	10.3	255	14.5	ND<1.4	1.4	ND<1.3	1.3	12.9	2	82.1	4.2	ND<0.4	0.4	0.5	0.5	ND<3.2	3.2	ND<1.2	1.2	ND<0.3	0.3	ND<0.3	0.3	ND<1.2	1.2	0.062973082
Dasyochloa pulchella	G2	P1	P1_37	3;4	leaf-stem	0.33	2	2109	y	Plant	945	259	3007	153	60.3	14.5	ND<2.6	2.6	ND<2.9	2.9	407	17.6	ND<1.7	1.7	ND<1.0	1	ND<1.6	1.6	7.6	2.8	3.6	1	1.4	0.7	ND<6.1	6.1	ND<1.5	1.5	ND<0.4	0.4	ND<0.4	0.4	ND<1.6	1.6	0.034774445
Dasyochloa pulchella	G2	P1	P1_37_1	7;8	leaf-stem	0.612	4	2111	y	Plant	361	162	2557	133	78.9	15.2	ND<2.0	2	18.1	5.3	562	21.6	ND<1.9	1.9	ND<1.2	1.2	6.5	1.7	58.7	4.5	0.9	0.8	ND<0.5	0.5	ND<9.2	9.2	ND<1.8	1.8	ND<0.8	0.8	ND<0.5	0.5	ND<1.8	1.8	0.022857372
Dasyochloa pulchella	G2	P5	P5_60	12	leaf-stem	0.247	7	2114	y	Plant	1059	266	2213	130	69.7	15	ND<2.3	2.3	ND<4.2	4.2	432	18.1	ND<1.7	1.7	ND<0.9	0.9	9.6	2.7	7.8	2.4	2.1	0.9	ND<0.5	0.5	ND<3.7	3.7	ND<1.3	1.3	ND<0.4	0.4	ND<0.4	0.4	ND<1.6	1.6	0.030637026
Bothriochloa barbinodis	G1	P1	P1_8_1	66;67	leaf-stem	0.618	12	2121	y	Plant	3842	494	7153	238	ND<6.8	6.8	3.8	3.7	ND<3.1	3.1	51.5	6.5	ND<0.9	0.9	ND<0.8	0.8	ND<1.3	1.3	3.4	1.9	4	0.3	1.1	0.5	ND<4.2	4.2	ND<1.1	1.1	ND<0.3	0.3	ND<0.3	0.3	ND<0.7	0.7	0.066430904
Bothriochloa barbinodis	G1	P5	P5_69	62;63	leaf-stem	0.488	15	2124	y	Plant	3230	457	2960	163	ND<6.6	6.6	12.2	5	ND<2.5	2.5	25.2	5	ND<1.0	1	ND<0.9	0.9	ND<1.4	1.4	ND<1.4	1.4	3.8	0.3	1.3	0.5	ND<2.7	2.7	ND<1.2	1.2	ND<0.3	0.3	ND<0.3	0.3	ND<0.7	0.7	0.061111648
Bothriochloa barbinodis	G1	P5	P5_69_2	68	leaf-stem	0.194	16	2125	y	Plant	606	212	1808	124	ND<6.2	6.2	8.8	4.7	ND<2.9	2.9	12.1	4.3	ND<1.0	1	ND<1.1	1.1	ND<1.8	1.8	9.7	3.1	5.4	0.4	ND<0.3	0.3	ND<4.0	4	ND<1.4	1.4	ND<0.4	0.4	ND<0.5	0.5	ND<0.9	0.9	0.032205328
Allionia incarnata	G3	P1	P1_29_1	30;31	leaf	0.55	17	2126	y	Plant	580	268	48102	704	143	27.5	7.7	5.5	36.2	10	1037	33	ND<2.5	2.5	ND<1.2	1.2	37.5	4.5	ND<1.1	1.1	5	0.3	1	0.6	ND<2.5	2.5	ND<1.5	1.5	ND<0.4	0.4	ND<0.6	0.6	ND<0.9	0.9	0.057585236
Allionia incarnata	G3	P2	P2_E12	33;34	leaf	0.332	20	2129	y	Plant	2576	462	37856	611	146	26.3	10.9	6	30.7	10	1320	35.8	ND<2.5	2.5	ND<1.2	1.2	47.1	5.1	ND<1.8	1.8	6.2	0.4	2.6	0.7	ND<4.5	4.5	4.6	2.6	ND<0.5	0.5	ND<0.5	0.5	ND<0.8	0.8	0.054200765
Allionia incarnata	G3	P5	P5_66	35	leaf	0.076	25	2134	y	Plant	ND<147	147	48021	656	38.8	15.4	18.9	7.5	ND<3.4	3.4	131	13.2	ND<1.8	1.8	ND<1.4	1.4	ND<2.9	2.9	ND<1.6	1.6	8.5	0.6	ND<0.6	0.6	ND<7.2	7.2	ND<2.1	2.1	ND<0.6	0.6	ND<0.6	0.6	ND<1.1	1.1	0.026603313
Allionia incarnata	G3	P5	P5_66_3_1	27	leaf	0.103	27	2136	y	Plant	561	222	17804	411	53	16.1	8.6	5.7	ND<4.7	4.7	346	25.2	ND<2.5	2.5	ND<1.9	1.9	26.7	6.7	ND<1.7	1.7	5.7	2.4	ND<1.0	1	ND<17.4	17.4	ND<3.2	3.2	ND<1.0	1	ND<0.8	0.8	ND<3.4	3.4	0.009051772
Eragrostis lehmanniana	G6	P1	P1_31_1	36;37	leaf-stem	0.604	30	2139	y	Plant	655	214	3006	148	ND<6.2	6.2	4.1	3.5	ND<2.4	2.4	36.6	5.3	ND<0.9	0.9	ND<0.8	0.8	2.6	1.6	7.5	1.9	2.9	0.3	0.4	0.4	ND<2.8	2.8	ND<1.1	1.1	ND<0.3	0.3	ND<0.3	0.3	ND<0.7	0.7	0.058463641
Eragrostis lehmanniana	G6	P2	P2_E6_1_2	40;41	leaf-stem	0.779	33	2142	y	Plant	1521	314	2994	151	16.4	9.6	5.3	3.8	ND<2.5	2.5	37.4	5.3	ND<0.9	0.9	ND<0.7	0.7	ND<1.6	1.6	7.8	1.8	2.3	0.2	ND<0.3	0.3	ND<4.0	4	ND<1.0	1	ND<0.3	0.3	ND<0.3	0.3	ND<0.6	0.6	0.080670498
Eragrostis lehmanniana	G6	P6	P6_E21	38;39	leaf-stem	1.179	35	2144	y	Plant	981	257	4428	181	23.8	10.5	2.7	2.7	ND<3.6	3.6	23.6	4.2	ND<0.9	0.9	ND<0.7	0.7	3.8	1.4	2.4	1.2	1.3	0.5	0.9	0.4	ND<2.3	2.3	ND<1.0	1	ND<0.3	0.3	ND<0.3	0.3	ND<1.0	1	0.091615446
Eragrostis lehmanniana	G6	P6	P6_85_2_1	50;51	leaf-stem	0.593	37	2146	y	Plant	307	159	3855	166	46	12.7	10.8	4.4	ND<2.6	2.6	81.6	7.5	ND<0.9	0.9	ND<0.8	0.8	57.8	4.2	ND<0.7	0.7	4.1	0.3	0.6	0.4	ND<2.6	2.6	ND<1.1	1.1	ND<0.3	0.3	ND<0.3	0.3	ND<0.6	0.6	0.062259205
Eragrostis lehmanniana	G6	P5	P5_62_1	48;49	leaf-stem	0.819	39	2148	y	Plant	328	161	2370	132	22.1	9.9	6.2	3.7	ND<2.5	2.5	35.8	5.1	ND<0.8	0.8	ND<0.7	0.7	ND<1.7	1.7	ND<0.6	0.6	2.7	0.2	0.6	0.4	ND<4.2	4.2	ND<1.1	1.1	ND<0.3	0.3	ND<0.3	0.3	ND<0.6	0.6	0.075447135
Tamarix chinesis	G11	P2	P2_EX3	85;86	leaf	1.269	40	2153	y	Plant	2792	481	27101	497	ND<8.6	8.6	ND<2.7	2.7	18.5	6.8	83.9	8.8	ND<1.3	1.3	ND<1.0	1	59.7	4.4	19.8	2.4	2.4	0.7	19.7	1.4	ND<2.5	2.5	1.6	1.6	ND<0.4	0.4	ND<0.3	0.3	ND<1.4	1.4	0.083508298
Nultuma (Prosopis) velutina	G8	P1	P1_E5	69;70	leaf	1.046	42	2155	y	Plant	1616	340	26240	455	27.7	12.6	3	3	62	9.5	93.8	8.7	ND<1.1	1.1	ND<0.9	0.9	77.3	4.6	32.3	2.9	1.1	0.6	3.6	0.7	ND<4.1	4.1	17.1	2.6	ND<0.6	0.6	ND<0.4	0.4	ND<1.2	1.2	0.085961305
Nultuma (Prosopis) velutina	G8	P2	P2_15	83;84	leaf	1.016	44	2157	y	Plant	981	276	21231	409	26.1	12.1	6.2	4.3	82.6	11	89.2	8.7	ND<1.1	1.1	ND<0.9	0.9	128	5.9	42	3.1	2.3	0.7	1.8	0.5	ND<4.1	4.1	3.8	2	ND<0.6	0.6	ND<0.5	0.5	ND<1.1	1.1	0.081436031
Nultuma (Prosopis) velutina	G8	P5	P5_65	79;80	leaf	0.659	45	2158	y	Plant	1333	322	22543	441	19.8	11.7	7.9	4.7	29.7	7.9	67.6	7.9	ND<1.1	1.1	ND<1.0	1	103	5.9	ND<1.0	1	2.7	0.8	4.6	0.8	ND<2.9	2.9	6.8	2.4	ND<0.5	0.5	ND<0.4	0.4	ND<1.5	1.5	0.054828383
Nultuma (Prosopis) velutina	G8	P6	P6_E20	81;82	leaf	0.848	48	2161	y	Plant	337	187	24382	440	48	15	6.8	4.5	51.6	9.2	82.7	8.4	ND<1.1	1.1	ND<1.0	1	147	6.4	7.7	2	3	0.2	2.8	0.6	ND<2.5	2.5	3	2	0.8	0.8	ND<0.5	0.5	ND<0.7	0.7	0.075984977
Solanum elaeagnifolium	G13	P1	P1_35	89	leaf	0.19	49	2167	y	Plant	1466	328	14048	353	37.5	13.8	11.8	5.9	ND<4.0	4	205	14.5	ND<1.7	1.7	ND<1.2	1.2	ND<2.5	2.5	ND<1.5	1.5	7.5	0.5	ND<0.4	0.4	ND<3.3	3.3	ND<1.6	1.6	ND<0.5	0.5	ND<0.5	0.5	ND<0.9	0.9	0.032319102
Solanum elaeagnifolium	G13	P2	P2_38_2	97;98	leaf	0.703	53	2171	y	Plant	1679	348	19567	425	52.6	16.3	6.3	4.8	12.9	7.7	330	16.9	ND<1.6	1.6	ND<1.0	1	19.6	3.7	4.9	2.4	4.6	0.3	1.4	0.6	ND<4.8	4.8	ND<1.7	1.7	ND<0.5	0.5	ND<0.4	0.4	ND<0.8	0.8	0.053631462
Solanum elaeagnifolium	G13	P5	P5_58	107	leaf	0.343	57	2175	y	Plant	1123	286	8683	279	50.4	14.9	7.4	4.8	ND<4.2	4.2	235	14.7	ND<1.6	1.6	ND<1.1	1.1	5.4	2.9	ND<1.2	1.2	4.6	0.4	ND<0.5	0.5	ND<7.2	7.2	ND<1.5	1.5	ND<0.4	0.4	ND<0.4	0.4	ND<1.0	1	0.032840394
Solanum elaeagnifolium	G13	P6	P6_E22	108	leaf	0.225	62	2180	y	Plant	794	253	11684	321	59.3	15.9	11.4	5.6	ND<4.4	4.4	292	16.8	ND<1.7	1.7	ND<1.1	1.1	ND<3.8	3.8	ND<1.5	1.5	6.3	0.5	ND<0.3	0.3	ND<7.0	7	ND<1.5	1.5	ND<0.4	0.4	ND<0.5	0.5	ND<1.0	1	0.031142905
Ambrosia confertiflora	G34	P2	P2_E10	142;143	leaf	0.862	64	2185	y	Plant	1606	351	42089	601	59.3	17.6	7	4.8	20.3	7.6	273	15.9	ND<1.5	1.5	ND<1.0	1	17.5	3.1	82.1	4.5	3	0.3	0.6	0.5	ND<4.2	4.2	ND<1.4	1.4	ND<0.4	0.4	ND<0.5	0.5	ND<0.7	0.7	0.075843856
Isocoma cf. tenuisecta	G18	P2	P2_21_1	135	leaf	0.451	68	2189	y	Plant	2258	388	9871	291	63.7	15.8	3.4	3.4	64	9.2	535	19.5	ND<1.5	1.5	ND<0.9	0.9	50.7	3.9	39.1	3.2	1.4	0.7	22.3	1.6	ND<4.9	4.9	13.7	2.6	ND<0.5	0.5	ND<0.6	0.6	ND<1.6	1.6	0.057557862
Isocoma cf. tenuisecta	G18	P2	P2_EX1_2	131;132	leaf	1.012	70	2191	y	Plant	3581	502	9319	285	44	13.9	4.2	3.6	46	8.1	398	16.8	ND<1.3	1.3	ND<0.9	0.9	34.6	3.2	36	3	0.8	0.6	10.3	1	ND<4.0	4	20.6	2.9	ND<0.9	0.9	ND<0.7	0.7	ND<1.3	1.3	0.08174789
Isocoma cf. tenuisecta	G18	P2	P2_EX1_3	133;134	leaf	0.936	71	2192	y	Plant	2883	436	9724	295	41.6	13.8	5.7	4	80.7	10.5	494	19	ND<1.4	1.4	ND<0.9	0.9	51.3	3.9	20.8	2.6	2.5	0.7	15.2	1.2	ND<2.6	2.6	20	2.9	ND<0.6	0.6	ND<0.5	0.5	ND<1.3	1.3	0.077984385
Portulaca suffrutescens	G7	P1	P1_48	117	leaf-stem	0.217	72	2193	y	Plant	638	246	12694	375	88.7	20.6	11.1	5.9	ND<4.0	4	297	16.8	ND<1.7	1.7	ND<1.2	1.2	24.9	4.4	17	3.2	5.8	0.4	0.6	0.5	ND<4.9	4.9	ND<1.3	1.3	ND<0.4	0.4	ND<0.4	0.4	ND<0.8	0.8	0.057113819
Portulaca suffrutescens	G7	P2	P2_E9	121	leaf-stem	0.127	76	2197	y	Plant	858	261	4309	213	78.4	17.8	11.9	5.8	ND<3.6	3.6	197	14.7	ND<1.6	1.6	ND<1.3	1.3	36.9	5.9	6.7	3.8	5.9	0.5	ND<0.4	0.4	ND<3.6	3.6	ND<1.7	1.7	ND<0.5	0.5	ND<0.5	0.5	ND<1.0	1	0.027072595
Portulaca suffrutescens	G7	P5	P5_E4	125;126	leaf-stem	0.8	77	2198	y	Plant	953	287	9770	348	71.4	19.4	3.5	3.5	12.4	7.1	155	12.4	ND<1.4	1.4	ND<1.0	1	37.5	4	44	3.5	2.3	0.7	0.4	0.4	ND<4.1	4.1	ND<1.3	1.3	ND<0.4	0.4	ND<0.3	0.3	ND<1.1	1.1	0.082513347
Portulaca suffrutescens	G7	P6	P6_76_1	119	leaf-stem	0.074	81	2202	y	Plant	1764	355	8346	277	114	20.6	9.4	5.7	ND<3.2	3.2	337	19.9	ND<2.0	2	ND<1.6	1.6	137	9.9	ND<1.8	1.8	7.9	0.6	ND<0.8	0.8	15.5	15.5	ND<1.9	1.9	ND<0.5	0.5	ND<0.6	0.6	ND<1.2	1.2	0.02007913
Pseudognaphalium canescens	G39	P6	P6_81_1	144;145;146	leaf	0.463	83	2208	y	Plant	5037	574	9026	291	231	28.4	6.9	4.5	20	7.7	1463	35.3	ND<2.5	2.5	ND<1.3	1.3	403	12.3	22.7	3.3	3.7	1.2	2.8	0.9	ND<6.6	6.6	ND<1.6	1.6	ND<0.5	0.5	ND<0.5	0.5	ND<1.2	1.2	0.032204662
